年
1,43,阿凡达,,2762万,38.6万,2010,数据纠错,
2,134,唐山大地震,,1817万,37.28万,2010,数据纠错,
3,138,让子弹飞,,1754万,37.87万,2010,数据纠错,
4,205,非诚勿扰2,,1250万,28.66万,2010,数据纠错,
5,214,盗梦空间,,1345万,27.5万,2010,数据纠错,
6,327,狄仁杰之通天帝国,,885万,22.04万,2010,数据纠错,
7,385,叶问2 宗师传奇,,706万,20.01万,2010,数据纠错,
8,406,敢死队,,867万,18.01万,2010,数据纠错,
9,415,哈利·波特与死亡圣器（上）,,661万,17.73万,2010,数据纠错,
10,456,赵氏孤儿,,571.12万,21.66万,2010,数据纠错,
11,466,钢铁侠2,,548万,16.64万,2010,数据纠错,
12,472,诸神之战,,355万,9.52万,2010,数据纠错,
13,505,波斯王子：时之刃,,504万,14.65万,2010,数据纠错,
14,506,大兵小将,,505万,12.61万,2010,数据纠错,
15,525,大笑江湖,,--,--,2010,数据纠错,
16,546,山楂树之恋,,445万,15.51万,2010,数据纠错,
17,552,锦衣卫(2010),,445万,11.51万,2010,数据纠错,
18,560,精武风云·陈真,,433万,13.35万,2010,数据纠错,
19,570,生化危机4,,343万,13.24万,2010,数据纠错,
20,582,越光宝盒,,416万,13.49万,2010,数据纠错,
年
21,585,全城热恋,,394万,10.41万,2010,数据纠错,
22,588,杜拉拉升职记,,412万,13.37万,2010,数据纠错,
23,592,枪王之王,,411万,11.89万,2010,数据纠错,
24,599,喜羊羊与灰太狼2,,442万,10.97万,2010,数据纠错,
25,623,玩具总动员3,,262万,9.51万,2010,数据纠错,
26,698,孔子,,308万,9.63万,2010,数据纠错,
27,731,危情谍战,,290万,8.81万,2010,数据纠错,
28,733,驯龙高手,,211万,8.85万,2010,数据纠错,
29,734,怪物史瑞克4,,209万,6.79万,2010,数据纠错,
30,739,全城戒备,,289万,8.13万,2010,数据纠错,
31,783,大侦探福尔摩斯,,253万,8.22万,2010,数据纠错,
32,838,西风烈,,217万,10.66万,2010,数据纠错,
33,845,邻家特工,,234万,8.16万,2010,数据纠错,
34,864,剑雨,,203万,7.95万,2010,数据纠错,
35,868,危情时速,,214万,8.82万,2010,数据纠错,
36,908,魔法师的学徒,,203万,7.61万,2010,数据纠错,
37,910,花田囍事2010,,203万,5.61万,2010,数据纠错,
38,921,未来警察,,198万,7.9万,2010,数据纠错,
39,939,唐伯虎点秋香2,,187万,6.98万,2010,数据纠错,
40,964,恋爱通告,,182万,5.63万,2010,数据纠错,
年
1,43,阿凡达,,2762万,38.6万,2010,数据纠错,
2,134,唐山大地震,,1817万,37.28万,2010,数据纠错,
3,138,让子弹飞,,1754万,37.87万,2010,数据纠错,
4,205,非诚勿扰2,,1250万,28.66万,2010,数据纠错,
5,214,盗梦空间,,1345万,27.5万,2010,数据纠错,
6,327,狄仁杰之通天帝国,,885万,22.04万,2010,数据纠错,
7,385,叶问2 宗师传奇,,706万,20.01万,2010,数据纠错,
8,406,敢死队,,867万,18.01万,2010,数据纠错,
9,415,哈利·波特与死亡圣器（上）,,661万,17.73万,2010,数据纠错,
10,456,赵氏孤儿,,571.12万,21.66万,2010,数据纠错,
11,466,钢铁侠2,,548万,16.64万,2010,数据纠错,
12,472,诸神之战,,355万,9.52万,2010,数据纠错,
13,505,波斯王子：时之刃,,504万,14.65万,2010,数据纠错,
14,506,大兵小将,,505万,12.61万,2010,数据纠错,
15,525,大笑江湖,,--,--,2010,数据纠错,
16,546,山楂树之恋,,445万,15.51万,2010,数据纠错,
17,552,锦衣卫(2010),,445万,11.51万,2010,数据纠错,
18,560,精武风云·陈真,,433万,13.35万,2010,数据纠错,
19,570,生化危机4,,343万,13.24万,2010,数据纠错,
20,582,越光宝盒,,416万,13.49万,2010,数据纠错,
年
21,585,全城热恋,,394万,10.41万,2010,数据纠错,
22,588,杜拉拉升职记,,412万,13.37万,2010,数据纠错,
23,592,枪王之王,,411万,11.89万,2010,数据纠错,
24,599,喜羊羊与灰太狼2,,442万,10.97万,2010,数据纠错,
25,623,玩具总动员3,,262万,9.51万,2010,数据纠错,
26,698,孔子,,308万,9.63万,2010,数据纠错,
27,731,危情谍战,,290万,8.81万,2010,数据纠错,
28,733,驯龙高手,,211万,8.85万,2010,数据纠错,
29,734,怪物史瑞克4,,209万,6.79万,2010,数据纠错,
30,739,全城戒备,,289万,8.13万,2010,数据纠错,
31,783,大侦探福尔摩斯,,253万,8.22万,2010,数据纠错,
32,838,西风烈,,217万,10.66万,2010,数据纠错,
33,845,邻家特工,,234万,8.16万,2010,数据纠错,
34,864,剑雨,,203万,7.95万,2010,数据纠错,
35,868,危情时速,,214万,8.82万,2010,数据纠错,
36,908,魔法师的学徒,,203万,7.61万,2010,数据纠错,
37,910,花田囍事2010,,203万,5.61万,2010,数据纠错,
